name,LOA_m,LBP_m,B_m,D_m,T_m,Cb,L_B,disp_t,Vs_kn,range_nm,DWT_target_t,crew,Fn,Rt_kN,PE_kW,PB_kW,fuel_t_day,fuel_cap_t,eta_propulsive,W_steel_t,W_lightship_t,W_DWT_t,W_cargo_t,GM_loaded_m,freeboard_m,stable,build_cost_M,opex_M_yr
T120,122,118,18.5,9.8,6.8,0.77,6.378,11716.0,13.5,5500,8500,8,0.2041,203.5,1413.0,1699.0,7.14,133.0,0.957,2422.0,2580.0,9136.0,8948.0,7.942,3.0,True,39.2,3.8
T150,152,147,23.0,12.5,8.5,0.78,6.391,22976.0,14.0,8000,22000,10,0.1896,324.7,2338.0,2779.0,11.67,306.0,0.968,4464.0,4688.0,18288.0,17913.0,9.762,4.0,True,68.4,5.9
T185,187,181,28.5,15.5,10.2,0.79,6.351,42606.0,14.5,9000,42000,14,0.177,503.5,3756.0,4413.0,18.54,527.0,0.979,7945.0,8279.0,34327.0,33703.0,12.4,5.3,True,117.7,9.4
